year_radica,count_a,count_de,tipo_predio_zona,categoria_ruralidad_2024,valor
2023,1,1,URBANO,Ciudades y aglomeraciones,231000000
2022,1,1,URBANO,Ciudades y aglomeraciones,465000000
2022,1,1,URBANO,Ciudades y aglomeraciones,480000000
2021,1,2,URBANO,Ciudades y aglomeraciones,170000000
2022,4,1,URBANO,Ciudades y aglomeraciones,300000000
2023,2,4,URBANO,Ciudades y aglomeraciones,145000000
2023,1,2,URBANO,Ciudades y aglomeraciones,108000000
2020,1,1,URBANO,Rural,4000000.0
2021,1,4,URBANO,Ciudades y aglomeraciones,398000000
2023,2,4,URBANO,Ciudades y aglomeraciones,840000000
2023,1,1,URBANO,Ciudades y aglomeraciones,207000000
2022,1,1,URBANO,Ciudades y aglomeraciones,569312000
2023,2,4,URBANO,Ciudades y aglomeraciones,1350000000
2023,2,2,URBANO,Ciudades y aglomeraciones,170000000
2023,1,1,URBANO,Ciudades y aglomeraciones,13144000
2022,1,1,URBANO,Ciudades y aglomeraciones,1584999940
2022,1,4,URBANO,Ciudades y aglomeraciones,60000000
2022,1,1,URBANO,Ciudades y aglomeraciones,175000000
2023,2,2,URBANO,Ciudades y aglomeraciones,525000000
2023,2,2,URBANO,Ciudades y aglomeraciones,150000000
2023,1,1,URBANO,Ciudades y aglomeraciones,150000000
2023,2,2,URBANO,Ciudades y aglomeraciones,140000000
2022,1,1,URBANO,Ciudades y aglomeraciones,1288574080
2023,1,1,URBANO,Ciudades y aglomeraciones,1260000000
2023,2,2,URBANO,Ciudades y aglomeraciones,150612992
2022,1,8,URBANO,Ciudades y aglomeraciones,430000000
2022,1,2,URBANO,Ciudades y aglomeraciones,1150000000
2021,3,8,URBANO,Ciudades y aglomeraciones,220000000
2021,2,8,URBANO,Ciudades y aglomeraciones,850000000
2021,2,5,URBANO,Ciudades y aglomeraciones,450000000
2021,2,1,URBANO,Ciudades y aglomeraciones,120000000
2023,2,2,URBANO,Ciudades y aglomeraciones,600000000
